08:05:24 22:36:11 UTC,487.0,0.0,10.69,0.06,120.0,17.82,67.0,31.5
08:05:24 22:36:22 UTC,460.0,0.0,11.52,0.06,84.0,19.2,67.0,31.5
08:05:24 22:36:33 UTC,453.0,0.0,9.86,0.05,60.0,16.43,67.0,31.5
08:05:24 22:36:43 UTC,406.0,0.0,9.86,0.05,4.0,16.43,67.0,31.5
08:05:24 22:36:54 UTC,415.0,0.0,9.86,0.05,0.0,16.43,67.0,31.5
08:05:24 22:37:04 UTC,407.0,0.0,9.86,0.05,0.0,16.43,67.0,31.5
08:05:24 22:37:15 UTC,431.0,0.0,9.86,0.05,11.0,16.43,67.0,31.5
08:05:24 22:37:25 UTC,493.0,0.0,10.69,0.05,95.0,17.82,67.0,31.5
08:05:24 22:37:36 UTC,484.0,0.0,9.86,0.05,134.0,16.43,67.0,31.5
08:05:24 22:37:46 UTC,471.0,0.0,9.86,0.05,130.0,16.43,67.0,31.5
08:05:24 22:37:57 UTC,464.0,0.0,9.86,0.05,124.0,16.43,67.0,31.5
08:05:24 22:38:07 UTC,464.0,0.0,9.86,0.05,112.0,16.43,67.0,31.5
08:05:24 22:38:18 UTC,405.0,0.0,11.52,0.04,42.0,19.2,67.0,31.5
08:05:24 22:38:29 UTC,407.0,0.0,17.33,0.04,0.0,28.89,67.0,31.5
08:05:24 22:38:39 UTC,441.0,0.0,10.69,0.05,24.0,17.82,67.0,31.5
08:05:24 22:38:50 UTC,458.0,0.0,10.69,0.05,47.0,17.82,67.0,31.5
08:05:24 22:39:00 UTC,478.0,0.0,9.86,0.05,83.0,16.43,67.0,31.4
08:05:24 22:39:11 UTC,456.0,0.0,9.86,0.04,95.0,16.43,67.0,31.4
08:05:24 22:39:21 UTC,459.0,0.0,10.69,0.04,91.0,17.82,67.0,31.4
08:05:24 22:39:32 UTC,449.0,0.0,9.03,0.04,87.0,15.05,67.0,31.4
08:05:24 22:39:42 UTC,474.0,0.0,9.86,0.04,96.0,16.43,67.0,31.4
08:05:24 22:39:53 UTC,453.0,0.0,9.86,0.04,68.0,16.43,67.0,31.4
08:05:24 22:40:04 UTC,483.0,0.0,9.86,0.04,121.0,16.43,67.0,31.3
08:05:24 22:40:14 UTC,490.0,0.0,9.86,0.04,147.0,16.43,67.0,31.3
08:05:24 22:40:25 UTC,489.0,0.0,12.35,0.04,149.0,20.59,67.0,31.3
08:05:24 22:40:35 UTC,474.0,0.0,9.86,0.04,131.0,16.43,67.0,31.3
08:05:24 22:40:46 UTC,441.0,0.0,9.86,0.04,67.0,16.43,67.0,31.4
